,links
ASSIST: Towards Label Noise-Robust Dialogue State Tracking,https://openreview.net/forum?id=sgmCcvG-3xH
Utterance Rewriting with Contrastive Learning in Multi-turn Dialogue,https://openreview.net/forum?id=4VzVcbbF9Hs
ElitePLM: An Empirical Study on General Language Ability Evaluation of Pretrained Language Models,https://openreview.net/forum?id=vjwdO75bWI0
Transformers Can Compose Skills To Solve Novel Problems Without Finetuning,https://openreview.net/forum?id=ZA6k7c-V1wT
Continual Few-shot Relation Learning via Embedding Space Regularization and Data Augmentation,https://openreview.net/forum?id=QbNdfN86b62
Machine Reading Comprehension: Generative or Extractive Reader?,https://openreview.net/forum?id=1I_wHy6mZAj
Towards Full Utilization on Mask Task for Distilling PLMs into NMT,https://openreview.net/forum?id=TUL_oPO0H2u
Multi-Label Text Classification by Graph Neural Network with Mixing Operations,https://openreview.net/forum?id=SvyTrJoK5uw
e-CARE: a New Dataset for Exploring Explainable Causal Reasoning,https://openreview.net/forum?id=48T0DriwGcv
Meta-Learning with Sparse Experience Replay for Lifelong Language Learning,https://openreview.net/forum?id=MjA-CuGIx95
Focus on the Target\'s Vocabulary: Masked Label Smoothing for Machine Translation,https://openreview.net/forum?id=Moh8zXa3fSC
Learning Low-frequency Patterns with A Pre-trained Document-Grounded Conversation Model,https://openreview.net/forum?id=231kNimht0Q
Accurate Online Posterior Alignments for Principled Lexically-Constrained Decoding,https://openreview.net/forum?id=DutjyHb33yO
"Draft, Command, and Edit: Controllable Text Editing in E-Commerce",https://openreview.net/forum?id=Z38ExoQkXoc
